,Original,Cropped,Scaled,Rotated,Affined,2D Convoluted,Blurred,Noised,GCR / Marked
383,0.13620185095723916,0.12948488884758166,0.8716860077112283,0.6927470541161073,0.19762560277993443,0.8338666550651954,0.8360038119014679,0.8390865076922777,0.8883995022581445
384,0.16251800826979507,0.17124473945551377,0.8495955396924246,0.6686539708612586,0.21110841276988015,0.8602754630880959,0.8603389058114179,0.8056210258452703,0.8591111595190707
385,0.1932144832844351,0.2068881864629683,0.8481380153543321,0.688399057502191,0.20955403889820226,0.8065447049195792,0.8092064852769061,0.838427100314682,0.876182595981045
386,0.16351778263839684,0.1450823854261357,0.8049484688726783,0.6450465426326532,0.199382080774053,0.7791889442126035,0.7804559784232531,0.7354359487152761,0.8214088407584131
387,0.24891218621144368,0.23643468603675524,0.7402587617440101,0.5833302943505667,0.2168543926951823,0.7428000968938755,0.7428188824128333,0.7194557616855016,0.7427060315005144
388,0.25544270673336483,0.2795584153135645,0.7205966267442866,0.5625813476454631,0.18655614341347185,0.7385046974179932,0.7380824873531409,0.6779564342543702,0.728998485510428
389,0.24435625427490235,0.22894756119386084,0.7063785133946132,0.5730001969901064,0.21472199176431048,0.7012337188697245,0.7012067568174001,0.64166648316397,0.7269935841566274
390,0.2047089701103751,0.17384144502161233,0.8876732969936486,0.7127483696999508,0.211425268194584,0.8536710145114589,0.855852810297977,0.8661984823785478,0.9007792921271474
391,0.19404520756916552,0.180378754117735,0.9150085512236288,0.7069929524168831,0.20026545432315068,0.8944599131838675,0.8959301063693649,0.9030938279500902,0.9273308372774615
392,0.22444665056423632,0.20240927042604426,0.8879726148907156,0.6975251429407274,0.20103569611718014,0.8869461863981627,0.88730847509152,0.8546205567117361,0.9005096172836581
393,0.2212311842920528,0.23012647690515592,0.6125344198118796,0.49493808945354895,0.22169743466554642,0.6245074666062673,0.6241195491846602,0.5634763826988279,0.6368929040710765
394,0.20431249003845356,0.20219797396657985,0.7374595794165786,0.5839173530254692,0.23482555357225046,0.7225799278596519,0.7235859711905522,0.6815480140861594,0.7446782425853676
395,0.25868401058884183,0.2660040698445992,0.7942388431144586,0.6535811042301387,0.19913296730981847,0.7572376085203517,0.759150112854905,0.7703574793343332,0.8085539425573
396,0.23361734562743308,0.22220508977813233,0.7516539278123037,0.6152708315961506,0.21061024145444682,0.7091983614165821,0.7111905048028228,0.7411331552517657,0.762510632618263
397,0.24487373661743123,0.20946461159260787,0.7293274874814859,0.6145164465556926,0.21694082904802953,0.7024684718729427,0.7048537231943596,0.6907864945763567,0.7370421593584491
398,0.26281838281073877,0.22809563276430214,0.8446259190570612,0.6626322490451796,0.2148131753552587,0.8301750381552108,0.8308424827482102,0.8149203147226828,0.8510261512459205
399,0.19117779231497992,0.20249679924589276,0.46219057071995645,0.40638198115847907,0.20179568948973164,0.5062767627755289,0.5046035426703965,0.4476671989376796,0.49061298330870184
400,0.23047073839549562,0.2517556112104709,0.8047001044173139,0.6287815525916646,0.2503700824233216,0.8112524594975442,0.8120355115040236,0.7821118888167758,0.8127307934834103
401,0.25297328334469604,0.2692264213729189,0.8494382067588757,0.6661828343499386,0.1966912895439944,0.8518672612922447,0.852308302260744,0.8279446661705081,0.8524058955478615
402,0.2358937591604872,0.2298260435782998,0.7916763286860474,0.6419234464864898,0.2233195345475883,0.7800921307240632,0.7808881220736547,0.7212580244084373,0.7965054613623467
